,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
176,2017,Rio Grande do Norte,Pública,31.1649,4496.476
179,2017,Rondônia,Estadual,38.56182,2765.168
182,2017,Rondônia,Privada,28.88376,2972.614
185,2017,Rondônia,Pública,35.09801,3225.375
188,2017,Roraima,Estadual,33.80733,5836.303
191,2017,Roraima,Privada,28.90248,3051.053
194,2017,Roraima,Pública,33.00781,5052.584
197,2017,Rio Grande do Sul,Estadual,30.92428,3229.412
200,2017,Rio Grande do Sul,Privada,27.41609,3675.151
203,2017,Rio Grande do Sul,Pública,26.69832,4479.837
206,2017,Santa Catarina,Estadual,24.23749,4542.803
209,2017,Santa Catarina,Privada,29.82841,3324.407
212,2017,Santa Catarina,Pública,29.21195,4398.218
215,2017,Sergipe,Estadual,39.89373,4063.498
218,2017,Sergipe,Privada,32.11322,1804.703
221,2017,Sergipe,Pública,38.08111,4285.086
224,2017,São Paulo,Estadual,32.56582,3675.898
227,2017,São Paulo,Privada,31.18735,3957.408
230,2017,São Paulo,Pública,32.20837,4490.219
233,2017,Tocantins,Estadual,39.98359,3778.5
236,2017,Tocantins,Privada,29.75733,3213.708
239,2017,Tocantins,Pública,37.44332,3669.204
2,2018,Rondônia,Privada,28.67129,3043.461
5,2018,Rondônia,Pública,28.2557,4383.417
8,2018,Acre,Estadual,26.76851,4577.998
11,2018,Acre,Privada,28.88604,3629.479
14,2018,Acre,Pública,30.03195,3886.497
17,2018,Amazonas,Estadual,30.00473,3693.001
20,2018,Amazonas,Privada,32.55743,3127.099
23,2018,Amazonas,Pública,29.4132,3644.891
26,2018,Roraima,Estadual,39.9998,4982.195
29,2018,Roraima,Privada,29.12568,3366.065
32,2018,Roraima,Pública,35.59409,4612.575
35,2018,Pará,Estadual,20.3741,11047.67
38,2018,Pará,Privada,27.5858,2977.426
41,2018,Pará,Pública,29.41336,5477.904
44,2018,Amapá,Estadual,39.01937,6411.316
47,2018,Amapá,Privada,32.25518,2516.865
50,2018,Amapá,Pública,39.73593,5557.951
53,2018,Tocantins,Estadual,39.98435,3786.882
56,2018,Tocantins,Privada,30.56048,3262.561
59,2018,Tocantins,Pública,37.15206,3807.976
62,2018,Maranhão,Estadual,20.01342,7293.748
65,2018,Maranhão,Privada,31.28246,2265.895
68,2018,Maranhão,Pública,26.01535,4489.37
71,2018,Piauí,Estadual,31.85482,3323.782
74,2018,Piauí,Privada,27.51717,2804.08
77,2018,Piauí,Pública,33.90871,3596.674
80,2018,Ceará,Estadual,30.06328,3619.236
83,2018,Ceará,Privada,31.00168,2080.215
